date,product,sku,quantity,unit_type,price_per_unit,multiplier,owner,repository_slug,username,actions_workflow,notes
2023-05-21,Actions,Compute - UBUNTU_8_CORE,115,minute,0.032,1.0,mattermost,mattermost,mattermost-build,.github/workflows/server-ci-pr.yml,
2023-05-21,Actions,Compute - UBUNTU,3,minute,0.008,1.0,mattermost,mattermost-plugin-broomer,spirosoik,.github/workflows/ci.yml,
2023-05-21,Actions,Compute - UBUNTU,28,minute,0.008,1.0,mattermost,mattermost-plugin-workflow,hanzei,.github/workflows/ci.yml,
2023-05-21,Actions,Compute - UBUNTU,32,minute,0.008,1.0,mattermost,mattermost-plugin-dependency-track,spirosoik,.github/workflows/ci.yml,
2023-05-21,Actions,Compute - UBUNTU,28,minute,0.008,1.0,mattermost,mattermost-plugin-badges,spirosoik,.github/workflows/ci.yml,
2023-05-21,Actions,Compute - UBUNTU_4_CORE,13,minute,0.016,1.0,mattermost,mattermost-plugin-apps,toninis,.github/workflows/ci.yaml,
2023-05-21,Actions,Compute - UBUNTU_8_CORE,16,minute,0.032,1.0,mattermost,mattermost,harshilsharma63,.github/workflows/esrupgrade.yml,
2023-05-21,Actions,Compute - UBUNTU_8_CORE,241,minute,0.032,1.0,mattermost,mattermost,harshilsharma63,.github/workflows/server-ci-master.yml,
2023-05-21,Shared Storage,Shared Storage,0.0034,gb-day,0.008,1.0,mattermost,customer-web-server,,,
2023-05-21,Shared Storage,Shared Storage,2.1857,gb-day,0.008,1.0,mattermost,mattermost-plugin-badges,,,
2023-05-21,Shared Storage,Shared Storage,0.9543,gb-day,0.008,1.0,mattermost,mattermost-plugin-workflow,,,
2023-05-21,Shared Storage,Shared Storage,4.1298,gb-day,0.008,1.0,mattermost,mattermost-plugin-dependency-track,,,
2023-05-21,Shared Storage,Shared Storage,4.2638,gb-day,0.008,1.0,mattermost,enterprise,,,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,100,minute,0.032,1.0,mattermost,mattermost,aashish0909,.github/workflows/server-ci-pr.yml,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,118,minute,0.032,1.0,mattermost,mattermost,Koosha-Owji,.github/workflows/server-ci-pr.yml,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,1,minute,0.032,1.0,mattermost,mattermost,phoinixgrr,.github/workflows/ci.yml,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,343,minute,0.032,1.0,mattermost,mattermost,mattermost-build,.github/workflows/server-ci-pr.yml,
2023-05-22,Actions,Compute - UBUNTU,1,minute,0.008,1.0,mattermost,test-private-project,unified-ci-app[bot],.github/workflows/test.yaml,
2023-05-22,Actions,Compute - UBUNTU_4_CORE,24,minute,0.016,1.0,mattermost,mattermost-operator,fmartingr,.github/workflows/ci.yml,
2023-05-22,Actions,Compute - UBUNTU,72,minute,0.008,1.0,mattermost,customer-web-server,esarafianou,.github/workflows/ci.yaml,
2023-05-22,Actions,Compute - UBUNTU,6,minute,0.008,1.0,mattermost,mattermost-plugin-alertmanager,dependabot[bot],.github/workflows/auto-merge-deps.yml,
2023-05-22,Actions,Compute - UBUNTU,12,minute,0.008,1.0,mattermost,mattermost-plugin-alertmanager,dependabot[bot],.github/workflows/test.yml,
2023-05-22,Actions,Compute - UBUNTU,14,minute,0.008,1.0,mattermost,mattermost-plugin-alertmanager,dependabot[bot],.github/workflows/golangci-lint.yml,
2023-05-22,Actions,Compute - UBUNTU,14,minute,0.008,1.0,mattermost,mattermost-plugin-alertmanager,dependabot[bot],.github/workflows/build.yml,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,113,minute,0.032,1.0,mattermost,mattermost,mvitale1989,.github/workflows/server-ci-pr.yml,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,114,minute,0.032,1.0,mattermost,mattermost,amauryplayero,.github/workflows/server-ci-pr.yml,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,274,minute,0.032,1.0,mattermost,mattermost,lieut-data,.github/workflows/server-ci-pr.yml,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,118,minute,0.032,1.0,mattermost,mattermost,M-ZubairAhmed,.github/workflows/server-ci-pr.yml,
2023-05-22,Actions,Compute - UBUNTU_8_CORE,115,minute,0.032,1.0,mattermost,mattermost,hanzei,.github/workflows/server-ci-pr.yml,
2023-05-22,Actions,Compute - UBUNTU,3,minute,0.008,1.0,mattermost,mattermost-plugin-broomer,spirosoik,.github/workflows/ci.yml,
2023-05-22,Actions,Compute - UBUNTU,27,minute,0.008,1.0,mattermost,mattermost-plugin-workflow,hanzei,.github/workflows/ci.yml,
2023-05-22,Actions,Compute - UBUNTU,33,minute,0.008,1.0,mattermost,mattermost-plugin-dependency-track,spirosoik,.github/workflows/ci.yml,
2023-05-22,Actions,Compute - UBUNTU,28,minute,0.008,1.0,mattermost,mattermost-plugin-badges,spirosoik,.github/workflows/ci.yml,
2023-05-22,Actions,Compute - UBUNTU_4_CORE,14,minute,0.016,1.0,mattermost,mattermost-plugin-apps,toninis,.github/workflows/ci.yaml,
2023-05-22,Shared Storage,Shared Storage,4.2638,gb-day,0.008,1.0,mattermost,enterprise,,,
2023-05-22,Shared Storage,Shared Storage,0.9786,gb-day,0.008,1.0,mattermost,mattermost-plugin-workflow,,,
2023-05-22,Shared Storage,Shared Storage,2.2152,gb-day,0.008,1.0,mattermost,mattermost-plugin-badges,,,
2023-05-22,Shared Storage,Shared Storage,0.0028,gb-day,0.008,1.0,mattermost,customer-web-server,,,
2023-05-22,Shared Storage,Shared Storage,4.1299,gb-day,0.008,1.0,mattermost,mattermost-plugin-dependency-track,,,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,118,minute,0.032,1.0,mattermost,mattermost,Koosha-Owji,.github/workflows/server-ci-pr.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,110,minute,0.032,1.0,mattermost,mattermost,eunicode,.github/workflows/server-ci-pr.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,160,minute,0.032,1.0,mattermost,mattermost,harshilsharma63,.github/workflows/ci.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,100,minute,0.032,1.0,mattermost,mattermost,nilling4,.github/workflows/server-ci-pr.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,90,minute,0.032,1.0,mattermost,mattermost,phoinixgrr,.github/workflows/ci.yml,
2023-05-23,Actions,Compute - UBUNTU_4_CORE,112,minute,0.016,1.0,mattermost,desktop,mattermost-build,.github/workflows/build-for-pr.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,15,minute,0.032,1.0,mattermost,mattermost,mickmister,.github/workflows/esrupgrade.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,351,minute,0.032,1.0,mattermost,mattermost,lieut-data,.github/workflows/server-ci-pr.yml,
2023-05-23,Actions,Compute - UBUNTU_4_CORE,88,minute,0.016,1.0,mattermost,desktop,devinbinnie,.github/workflows/ci.yaml,
2023-05-23,Actions,Compute - UBUNTU,445,minute,0.008,1.0,mattermost,customer-web-server,nickmisasi,.github/workflows/ci.yaml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,263,minute,0.032,1.0,mattermost,mattermost,mickmister,.github/workflows/server-ci-master.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,72,minute,0.032,1.0,mattermost,mattermost,mattermost-build,.github/workflows/ci.yml,
2023-05-23,Actions,Compute - UBUNTU_4_CORE,49,minute,0.016,1.0,mattermost,mattermost-operator,fmartingr,.github/workflows/ci.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,223,minute,0.032,1.0,mattermost,mattermost,cpoile,.github/workflows/server-ci-pr.yml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,109,minute,0.032,1.0,mattermost,mattermost,Potherca,.github/workflows/server-ci-pr.yml,
2023-05-23,Actions,Compute - UBUNTU,3,minute,0.008,1.0,mattermost,mattermost-plugin-broomer,spirosoik,.github/workflows/ci.yml,
2023-05-23,Actions,Compute - UBUNTU,26,minute,0.008,1.0,mattermost,mattermost-plugin-workflow,hanzei,.github/workflows/ci.yml,
2023-05-23,Actions,Compute - UBUNTU,30,minute,0.008,1.0,mattermost,mattermost-plugin-dependency-track,spirosoik,.github/workflows/ci.yml,
2023-05-23,Actions,Compute - UBUNTU,28,minute,0.008,1.0,mattermost,mattermost-plugin-badges,spirosoik,.github/workflows/ci.yml,
2023-05-23,Actions,Compute - UBUNTU_4_CORE,15,minute,0.016,1.0,mattermost,mattermost-plugin-apps,toninis,.github/workflows/ci.yaml,
2023-05-23,Actions,Compute - UBUNTU_8_CORE,112,minute,0.032,1.0,mattermost,mattermost,mattermost-build,.github/workflows/server-ci-pr.yml,
