count,latitude,longitude,city,region_country,reason
5,35.689487,139.691711,Tokyo,Japan,MatterCon2020 Attendee
3,37.566536,126.977966,Seoul,South Korea,MatterCon2020 Attendee
1,30.267153,-97.743057,Austin,USA,MatterCon2020 Attendee
1,50.850346,4.351721,Brussels,Belgium,MatterCon2020 Attendee
1,28.704060,77.102493,Delhi,India,MatterCon2020 Attendee
1,19.075983,72.877655,Mumbai,India,MatterCon2020 Attendee
1,40.416775,-3.703790,Madrid,Spain,MatterCon2020 Attendee
1,52.229675,21.012230,Warsaw,Poland,MatterCon2020 Attendee
2,47.606209,-122.332069,Seattle,USA,MatterCon2020 Attendee
1,17.385044,78.486671,Hyderabad,India,MatterCon2020 Attendee
1,-18.879190,47.507904,Antananarivo,Madagascar,MatterCon2020 Attendee
1,51.507351,-0.127758,London,UK,MatterCon2020 Attendee
1,43.653225,-79.383186,Toronto,Canada,MatterCon2020 Attendee
1,37.62728,-122.41615,,,Confirmed Contributor
1,34.01093,-118.49151,,,Confirmed Contributor
5,41.88323,-87.6324,,,Confirmed Contributor
1,59.33279,18.06449,,,Confirmed Contributor
1,45.50436,-122.81603,,,Confirmed Contributor
1,50.63399,8.18579,,,Confirmed Contributor
1,35.99695,-78.89902,,,Confirmed Contributor
1,11.55474,104.84092,,,Confirmed Contributor
1,26.71444,-80.05495,,,Confirmed Contributor
7,48.85689,2.35085,,,Confirmed Contributor
1,22.29768,70.78746,,,Confirmed Contributor
1,39.61593,-104.92269,,,Confirmed Contributor
2,43.87417,-79.25874,,,Confirmed Contributor
1,44.51805,-79.84716,,,Confirmed Contributor
1,46.0036,8.95362,,,Confirmed Contributor
6,43.65189,-79.38171,,,Confirmed Contributor
1,38.68132,-121.16374,,,Confirmed Contributor
1,37.97538,-122.56183,,,Confirmed Contributor
1,52.4829,-1.89346,,,Confirmed Contributor
1,43.61354,-80.13664,,,Confirmed Contributor
2,43.39779,-80.30722,,,Confirmed Contributor
1,43.91924,-80.09741,,,Confirmed Contributor
1,37.47137,-121.13052,,,Confirmed Contributor
1,44.42141,-83.33198,,,Confirmed Contributor
2,50.08781,14.42046,,,Confirmed Contributor
3,34.05224,-118.24334,,,Confirmed Contributor
1,49.03415,3.95742,,,Confirmed Contributor
1,40.01687,-105.27962,,,Confirmed Contributor
1,49.09021,-123.06527,,,Confirmed Contributor
1,-33.96076,25.62064,,,Confirmed Contributor
9,43.44979,-80.48909,,,Confirmed Contributor
1,43.25653,-79.87442,,,Confirmed Contributor
1,51.9354,8.87384,,,Confirmed Contributor
1,36.73165,-119.78586,,,Confirmed Contributor
1,49.16278,-123.13665,,,Confirmed Contributor
1,44.0868,26.63695,,,Confirmed Contributor
3,53.55384,9.99165,,,Confirmed Contributor
9,51.50015,-0.12624,,,Confirmed Contributor
2,60.16981,24.93813,,,Confirmed Contributor
1,-6.24331,106.99372,,,Confirmed Contributor
1,51.17851,-115.57428,,,Confirmed Contributor
1,42.35899,-71.05863,,,Confirmed Contributor
3,38.41872,27.1296,,,Confirmed Contributor
1,46.13247,3.45591,,,Confirmed Contributor
1,42.08982,-76.80826,,,Confirmed Contributor
6,30.26498,-97.7466,,,Confirmed Contributor
3,38.88353,-94.81824,,,Confirmed Contributor
3,37.48478,-122.22815,,,Confirmed Contributor
3,37.4451,-122.16036,,,Confirmed Contributor
2,37.43752,-122.16575,,,Confirmed Contributor
1,41.62881,-80.12231,,,Confirmed Contributor
3,-27.47003,153.02298,,,Confirmed Contributor
1,41.23443,-111.99262,,,Confirmed Contributor
3,40.18578,29.05666,,,Confirmed Contributor
1,48.42959,-123.40685,,,Confirmed Contributor
1,35.93734,-78.86223,,,Confirmed Contributor
1,49.44196,10.9546,,,Confirmed Contributor
1,-30.83069,-71.25817,,,Confirmed Contributor
1,-21.08653,-47.14969,,,Confirmed Contributor
1,39.56223,9.13213,,,Confirmed Contributor
1,39.96276,-82.99629,,,Confirmed Contributor
1,41.28038,1.9767,,,Confirmed Contributor
1,39.17689,-84.28701,,,Confirmed Contributor
1,22.68329,120.48798,,,Confirmed Contributor
1,48.58697,-4.57255,,,Confirmed Contributor
1,43.93206,12.62689,,,Confirmed Contributor
1,38.97482,-94.6836,,,Confirmed Contributor
8,37.78008,-122.42016,,,Confirmed Contributor
1,40.47709,-88.99322,,,Confirmed Contributor
4,28.63243,77.21879,,,Confirmed Contributor
1,40.73151,-74.17439,,,Confirmed Contributor
2,40.69253,-73.991,,,Confirmed Contributor
1,54.49122,17.48519,,,Confirmed Contributor
1,50.01438,8.43135,,,Confirmed Contributor
16,52.52343,13.41144,,,Confirmed Contributor
1,39.95106,-75.16562,,,Confirmed Contributor
1,43.29502,5.37449,,,Confirmed Contributor
1,44.01722,1.35863,,,Confirmed Contributor
1,50.87983,4.70054,,,Confirmed Contributor
1,31.69479,-106.14207,,,Confirmed Contributor
1,43.77914,-79.59609,,,Confirmed Contributor
1,40.51641,-8.0808,,,Confirmed Contributor
4,48.20921,16.37278,,,Confirmed Contributor
