repo,is_community,category
mattermost-server,true,
platform-private,false,
desktop,true,
process,false,
mattermost-integration-gitlab,false,
mattermost-integration-giphy,false,
enterprise,false,
marked,false,
docs,true,
mattermost-docker,false,
mattermost-push-proxy,true,
mattermost-ios-classic,true,
licensing,false,
internal-ops,false,
old-mattermod,false,
mattermost-android-classic,true,
rsc,false,
mattermost-driver-javascript,false,
mattermost-docker-preview,false,
mattermost-oauth2-client-sample,false,
mattermost-bot-sample-golang,false,
mattermost-react-native,false,
mattermost-website-org,false,
mattermost-heroku,false,
mattermost-api-reference,true,
mattermost-load-test,true,
mattermost-mobile,true,
mattermost-mobile-private,false,
log4go,false,
graceful,false,
mattermost-webrtc,false,
mattermost-platform-shift,false,
mattermost-selenium,false,
commonmark.js,false,
commonmark-react-renderer,false,
html2text,false,
mattermost-redux,true,
mattermost-helm,false,
redux-offline,false,
mattermost-mattermod,false,
gcm,false,
gorp,false,
mattermost-elasticsearch-docker,false,
react-native-notifications,false,
matterbuild,false,
mattermost-developer-documentation,true,
react-native-local-auth,false,
mattermost-developer-kit,false,
mattermost-interactive-post-demo,false,
mattermost-dev-ops,false,
mattermost-webapp,true,
mattermost-build,false,
mattermost-build-private,false,
mattermost-plugin-jira,plugin
mattermost-plugin-zoom,plugin
mattermost-webapp-profiling,false,
mattermost-plugin-memes,plugin
go-bindata,false,
mattermost-plugin-github,plugin
mattermost-plugin-jitsi,plugin
mattermost-shared-pipelines,false,
react-native-fetch-blob,false,
build-environment-backups,false,
viper,false,
minio-go,false,
react-native-image-gallery,false,
helm-elasticsearch,false,
mattermost-handbook-1,false,
mattermost-plugin-profanity-filter,plugin
react-native-device-info,false,
mattermost-plugins,plugin
rn-placeholder,false,
mattermost-utilities,true,
mattermost-plugin-autolink,plugin
react-native-youtube,false,
mattermost-plugin-starter-template,plugin
mattermost-plugin-demo,plugin
mattermost-plugin-antivirus,plugin
mattermost-chrome-extension,false,
playbook,false,
mattermost-vagrant-galera-sample,false,
react-native-recyclerview-list,false,
mattermost-redhat-docker,false,
mattermost-plugin-walltime,plugin
mattermost-plugin-autotranslate,plugin
react-native-calendars,false,
mattermost-plugin-welcomebot,plugin
eslint-plugin-mattermost,false,
mmctl,true,
mattermost-plugin-giphy,plugin
mattermost-plugin-demo-creator,plugin
mattermost-plugin-todo-old,plugin
mattermost-plugin-email-reply,plugin
mattermost-plugin-true,,plugin
mattermost-plugin-custom-attributes,plugin
react-window,false,
mattermost-plugin-aws-SNS,plugin
mattermost-operator,false,
mattermost-plugin-nps,plugin
imageproxy,false,
mattermost-plugin-jenkins,plugin
mattermost-plugin-gitlab,plugin
mattermost-plugin-skype4business,plugin
mattermost-cloud,false,
mattermost-metrics-server,false,
go-i18n,false,
mattermost-devops,false,
react-bootstrap,false,
react-native-webview,false,
mattermost-cloud-monitoring,false,
react-native-keyboard-tracking-view,false,
react-select,false,
circleci-orbs,false,
mattermost-mlt,false,
mattermost-sa-demo,false,
mattermost-plugin-suggestions,plugin
mattermost-plugin-cloud,plugin
mattermost-plugin-oembed,plugin
mattermost-patch-management,false,
mattermost-marketplace,false,
react-native-doc-viewer,false,
mattermost-plugin-webex,plugin
internal-docs,false,
action-mattermost-notify,false,
mattermost-plugin-docup,plugin
mattermost-plugin-workflow,plugin
ldap,false,
mattermost-plugin-canary,plugin
mmetl,false,
react-smooth-dnd,false,
react-native-cookies,false,
mattermost-plugin-mscalendar,plugin
mattermost-sa-code,false,
mattermost-handbook,false,
gosaml2,false,
mattermost-hackathon-nov2019,true,
mattermost-plugin-google-calendar,plugin
mattermost-load-test-ng,false,
mattermost-plugin-todo,plugin
mattermost-plugin-agenda,plugin
mattermost-plugin-api,plugin
mattermost-govet,false,
.github,false,
mattermost-hackathon-hackerearth-jan2020,true,
mattermost-plugin-solar-lottery,plugin
customer-web-server,false,
mattermost-plugin-nop,plugin
mattermost-packer,false,
mattermost-looker,false,
mattermost-data-warehouse,false,
linuxbrew-core,false,
homebrew-core,false,
blubr,false,
mattermost-plugin-confluence,plugin
mattermost-for-confluence,false,
mattermost-plugin-workflow-client,plugin
mattermost-away-reminder,false,
mattermost-data-warehouse-internal,false,
mattermost-documentation,false,
mattermost-plugin-incident-response,plugin
internal-workflows,false,
mattermost-plugin-channel-export,plugin
security-infrastructure,false,
test-repository,false,
blapi,false,
matterwick,false,
react-native-v8,false,
dynamic-virtualized-list,false,
mattermost-plugin-digitalocean,plugin
mattermost-qa-automation,false,
license-generator,false,
security-automation-config,false,
chewbacca,false,
mattermost-plugin-webrtc-video,plugin
mattermost-plugin-giphy-moussetc,plugin
mattermost.com,false,
integrations.mattermost.com,false,
mattermost-cloud-database-factory,false,
circleci-sec-test,false,
