month,leads,mqls,sals,sqls,opportunities,new_logos,new_pipeline,new_arr
2021-02-01,1687,415,311,33,9,3,137091,39619
2021-03-01,1601,394,295,31,10,3,144681,41813
2021-04-01,2136,526,394,41,12,4,172401,55413
2021-05-01,2530,622,467,49,12,3,173590,49824
2021-06-01,3224,864,648,68,15,4,216915,52945
2021-07-01,3740,1014,760,80,26,6,378237,83078
2021-08-01,4109,1126,844,89,23,8,334765,109310
2021-09-01,4667,1302,977,103,27,7,392466,102103
2021-10-01,5233,1492,1119,117,39,10,569996,150315
2021-11-01,5289,1417,1063,112,34,11,492626,164729
2021-12-01,5444,1339,1004,105,34,10,494052,150251
2022-01-01,6347,1809,1357,142,40,13,586173,189222
