name,city,reason
MatterCon2020_Tokyo_1,Tokyo,MatterCon2020
MatterCon2020_Tokyo_2,Tokyo,MatterCon2020
MatterCon2020_Tokyo_3,Tokyo,MatterCon2020
MatterCon2020_Tokyo_4,Tokyo,MatterCon2020
MatterCon2020_Tokyo_5,Tokyo,MatterCon2020
MatterCon2020_Soul_1,Soul,MatterCon2020
MatterCon2020_Soul_2,Soul,MatterCon2020
MatterCon2020_Soul_3,Soul,MatterCon2020
MatterCon2020_Austin_1,Austin,MatterCon2020
MatterCon2020_Brussels_1,Brussels,MatterCon2020
MatterCon2020_Delhi_1,Delhi,MatterCon2020
MatterCon2020_Mumbai_1,Mumbai,MatterCon2020
MatterCon2020_Madrid_1,Madrid,MatterCon2020
MatterCon2020_Warsaw_1,Warsaw,MatterCon2020
MatterCon2020_Seattle_1,Seattle,MatterCon2020
MatterCon2020_Seattle_2,Seattle,MatterCon2020
MatterCon2020_Hyderabad_1,Hyderabad,MatterCon2020
MatterCon2020_Antananarivo_1,Antananarivo,MatterCon2020
MatterCon2020_London_1,London,MatterCon2020
MatterCon2020_Toronto_1,Toronto,MatterCon2020
MatterCon2020_Indianapolis_1,Indianapolis,MatterCon2020
