version,release_date,supported,release_number
1.0.0,10/2/15,FALSE,1
1.1.0,10/6/15,FALSE,2
1.1.1,10/20/15,FALSE,3
1.2.0,11/16/15,FALSE,4
1.2.1,11/16/15,FALSE,5
1.3.0,12/16/15,FALSE,6
1.4.0,1/16/16,FALSE,7
2.0.0,2/16/16,FALSE,8
2.1.0,3/16/16,FALSE,9
2.2.0,4/16/16,FALSE,10
3.0.3,5/16/16,FALSE,11
3.1.0,6/16/16,FALSE,12
3.2.0,7/16/16,FALSE,13
3.3.0,8/16/16,FALSE,14
3.4.0,9/16/16,FALSE,15
3.5.0,11/16/16,FALSE,16
3.5.1,11/23/16,FALSE,17
3.6.0,1/16/17,FALSE,18
3.6.1,1/19/17,FALSE,19
3.6.2,1/31/17,FALSE,20
3.6.3,3/16/17,FALSE,21
3.6.4,3/16/17,FALSE,22
3.6.5,3/23/17,FALSE,23
3.6.6,4/13/17,FALSE,24
3.6.7,4/27/17,FALSE,25
3.7.0,3/16/17,FALSE,26
3.7.1,3/16/17,FALSE,27
3.7.2,3/17/17,FALSE,28
3.7.3,3/23/17,FALSE,29
3.7.4,4/13/17,FALSE,30
3.7.5,4/27/17,FALSE,31
3.8.0,4/16/17,FALSE,32
3.8.1,4/19/17,FALSE,33
3.8.2,4/21/17,FALSE,34
3.8.3,7/16/17,FALSE,35
3.9.0,5/16/17,FALSE,36
3.9.1,7/16/17,FALSE,37
3.9.2,7/18/17,FALSE,38
3.10.0,6/16/17,FALSE,39
3.10.1,7/16/17,FALSE,40
3.10.2,7/18/17,FALSE,41
3.10.3,8/18/17,FALSE,42
4.0.0,7/16/17,FALSE,43
4.0.1,7/18/17,FALSE,44
4.0.2,7/31/17,FALSE,45
4.0.3,8/10/17,FALSE,46
4.0.4,8/18/17,FALSE,47
4.0.5,9/16/17,FALSE,48
4.1.0,8/16/17,FALSE,49
4.1.1,9/16/17,FALSE,50
4.1.2,10/20/17,FALSE,51
4.2.2,9/16/17,FALSE,52
4.3.4,10/16/17,FALSE,53
4.4.5,11/16/17,FALSE,54
4.5.0,12/16/17,FALSE,55
4.6.0,1/16/18,FALSE,56
4.7.0,2/16/18,FALSE,57
4.8.0,3/16/18,FALSE,58
4.9.0,4/16/18,FALSE,59
4.10.0,5/16/18,FALSE,60
5.0.0,6/16/18,FALSE,61
5.1.0,7/16/18,FALSE,62
5.2.0,8/16/18,FALSE,63
5.3.0,9/16/18,FALSE,64
5.4.0,10/16/18,FALSE,65
5.5.0,11/16/18,FALSE,66
5.6.0,12/16/18,FALSE,67
5.7.0,1/16/19,FALSE,68
5.8.0,2/16/19,FALSE,69
5.9.0,3/16/19,FALSE,70
5.10.0,4/16/19,FALSE,71
5.11.0,5/16/19,FALSE,72
5.12.0,6/16/19,FALSE,73
5.13.0,7/16/19,FALSE,74
5.14.0,8/16/19,FALSE,75
5.15.0,9/16/19,FALSE,76
5.16.0,10/16/19,FALSE,77
5.17.0,11/16/19,FALSE,78
5.18.0,12/16/19,FALSE,79
5.19.0,1/16/20,TRUE,80
5.20.0,2/16/20,TRUE,81
5.21.0,3/16/20,TRUE,82
5.22.0,4/16/20,TRUE,83
5.23.0,5/16/20,TRUE,84
5.24.0,6/16/20,TRUE,85
5.25.0,7/16/20,TRUE,86
