category,subcategory,date,feedback,score,user_role,license_sku,server_version
Invalid,Invalid,2020-06-08,Tình hình sao; hi,8,system_admin,TE,5.22.0
Feature Requests,Read Receipts,2020-06-08,confirmation that the message has been read,5,user,TE,5.21.0
Invalid,Invalid,2020-06-08,5,7,user,E0,5.23.0
UX Feedback,Notifications UX,2020-06-08,Better notifications,10,user,TE,5.18.0
Invalid,Invalid,2020-06-08,1; 10,0,user,TE,5.22.0
UX Feedback,Logout Issues,2020-06-08,"fix \""auto-logout\"" problem to start with",2,user,E0,5.19.0
UX Feedback,Team Management,2020-06-08,"Don't just copy all the mistakes of Slack. Create something new that solves the problems of Slack. For example, dealine with multiple workspaces is a pain! I either have to constantly switch between workspaces (two clicks + one additional click to select the channel in the new work space), or I have to keep a separate browser tab open for every single Mattermost workspace I'm in. Why can't I just see *all* channels from all my workspaces in the left sidebar?",1,user,E0,5.22.0
Reliability,Bugs,2020-06-08,The app is really bugg. Both android and macos,7,user,E0,5.21.0
UX Feedback,Search UX,2020-06-08,search needs improvement,10,user,TE,5.19.0
Invalid,Invalid,2020-06-08,hm,10,user,TE,5.19.0
Invalid,Invalid,2020-06-08,easy to use,7,user,TE,5.23.0
Feature Requests,Audio/Video Calling,2020-06-08,Support for audio and video conferences!,6,system_admin,E0,5.22.0
Invalid,Invalid,2020-06-08,BOTに何気ない投稿をするとどう回答する？,3,user,E0,5.22.0
UX Feedback,Update UX,2020-06-08,Update the app without me having to update the ap manually,0,user,TE,5.22.0
Invalid,Invalid,2020-06-08,クライアントでログインできない なんか不便,8,user,TE,5.19.0
Feature Requests,Channel Sidebar,2020-06-08,"Chat order could be sorted by last messages first, it's more usefull, or at least to have that option",10,user,,5.15.0
Invalid,Invalid,2020-06-08,https://meetings.petronics.es/b/ant-t9t-y9g,8,user,E10,5.22.0
Feature Requests,Audio/Video Calling,2020-06-08,Better video support... more calling-like functionality instead of just a link,9,user,TE,5.23.0
Feature Requests,Threading,2020-06-08,please try to improve the UX of the threads :pray:,5,user,TE,5.23.0
UX Feedback,Messaging UX,2020-06-08,while editing the comment. we can't able to attachents,7,user,E0,5.23.0
Feature Requests,Integrations,2020-06-08,add Grammarly to mattermost,7,user,E0,5.23.0
UX Feedback,Search UX,2020-06-08,Search seems to be little bit lagging. Not providing proper results. Everything else is fine. :thumbsup:,1,user,TE,5.22.0
Reliability,Bugs,2020-06-08,white screen when Mattermost auto start by windows 10,3,user,TE,5.17.0
Feature Requests,Audio/Video Calling,2020-06-08,"I use Mattermost side by side to Slack, and I'm particularly missing the ability to call a channel or person direclty on the dm-app.",0,user,E0,5.22.0
UX Feedback,Miscellaneous UX,2020-06-08,Be more like flowdock,9,user,TE,5.19.0
UX Feedback,Desktop UX,2020-06-08,client for macos needs improvement,10,user,E0,5.22.0
Praise,Praise,2020-06-08,Nothing to do :-),10,team_admin,TE,5.23.0
