id,date,forum_site,registrations,posts,users
0D3FA0DD,2020-04-01,forum.mattermost.org,4,9,
418D822A,2020-04-02,forum.mattermost.org,4,22,
F183AFE1,2020-04-03,forum.mattermost.org,4,9,
1D96AEC8,2020-04-04,forum.mattermost.org,2,5,
81991F75,2020-04-05,forum.mattermost.org,4,4,
A53A5881,2020-04-06,forum.mattermost.org,3,23,
20351070,2020-04-07,forum.mattermost.org,7,21,
1296AD6C,2020-04-08,forum.mattermost.org,5,24,
F942BA9D,2020-04-09,forum.mattermost.org,6,24,
76ACA4F3,2020-04-10,forum.mattermost.org,2,8,
822FA912,2020-04-11,forum.mattermost.org,2,1,
A88B1726,2020-04-12,forum.mattermost.org,5,3,
52F3E8F2,2020-04-13,forum.mattermost.org,2,16,
C906AE65,2020-04-14,forum.mattermost.org,4,14,
057B110B,2020-04-15,forum.mattermost.org,4,17,
84883A1C,2020-04-16,forum.mattermost.org,4,15,
03FD41A9,2020-04-17,forum.mattermost.org,8,30,
8D0F2566,2020-04-18,forum.mattermost.org,9,13,
062580F4,2020-04-19,forum.mattermost.org,3,5,
241E15EE,2020-04-20,forum.mattermost.org,2,20,
52D51EE2,2020-04-21,forum.mattermost.org,6,29,
4323F7A2,2020-04-22,forum.mattermost.org,9,29,
7729F925,2020-04-23,forum.mattermost.org,3,21,
D153F78B,2020-04-24,forum.mattermost.org,7,16,
ED67CE14,2020-04-25,forum.mattermost.org,5,8,
F4033465,2020-04-26,forum.mattermost.org,1,2,
75C2FBB6,2020-04-27,forum.mattermost.org,3,21,
7ACB2636,2020-04-28,forum.mattermost.org,4,11,
9A0D50B4,2020-04-29,forum.mattermost.org,2,8,
8F1C01B3,2020-04-30,forum.mattermost.org,1,13,
D22BD4F1,2020-05-01,forum.mattermost.org,6,6,
87DA9ECD,2020-05-03,forum.mattermost.org,3,5,
FC46AB7D,2020-05-04,forum.mattermost.org,1,12,
31599FAE,2020-05-05,forum.mattermost.org,5,9,
B7127319,2020-05-06,forum.mattermost.org,1,7,
28B5E266,2020-05-07,forum.mattermost.org,7,14,
A8A4C862,2020-05-08,forum.mattermost.org,3,14,
839A7E22,2020-05-09,forum.mattermost.org,3,4,
BF3BCF81,2020-05-10,forum.mattermost.org,3,7,
D2F0D0C0,2020-05-11,forum.mattermost.org,5,28,
0D7AE6D9,2020-05-12,forum.mattermost.org,4,11,
54456081,2020-05-13,forum.mattermost.org,4,6,
771CE771,2020-05-14,forum.mattermost.org,6,18,
92F29602,2020-05-15,forum.mattermost.org,2,17,
083E9AED,2020-05-16,forum.mattermost.org,1,3,
CBAE9293,2020-05-17,forum.mattermost.org,3,4,
7E6A4331,2020-05-18,forum.mattermost.org,6,19,
9B29A6D3,2020-05-19,forum.mattermost.org,5,10,
59B75F99,2020-05-20,forum.mattermost.org,1,28,
1F3F2D1D,2020-05-21,forum.mattermost.org,1,12,
3BE00F81,2020-05-22,forum.mattermost.org,4,12,
0212CC94,2020-05-23,forum.mattermost.org,4,6,
8D5FB677,2020-05-24,forum.mattermost.org,3,3,
73906954,2020-05-25,forum.mattermost.org,5,17,
5BC4C6FC,2020-05-26,forum.mattermost.org,5,23,
F06542B9,2020-05-27,forum.mattermost.org,3,18,
5299D7C3,2020-05-28,forum.mattermost.org,2,7,
B1ED074E,2020-05-29,forum.mattermost.org,4,1,
1FE8683C,2020-05-30,forum.mattermost.org,1,7,
98F5E23C,2020-05-31,forum.mattermost.org,2,5,
B899F3F5,2020-06-01,forum.mattermost.org,3,7,
71EAC0B0,2020-06-02,forum.mattermost.org,2,12,
DE2240BF,2020-06-03,forum.mattermost.org,5,11,
3.4235E+25,2020-06-04,forum.mattermost.org,4,30,
38280363,2020-06-05,forum.mattermost.org,4,14,
BC0DCDED,2020-06-06,forum.mattermost.org,3,0,
E88F440A,2020-06-07,forum.mattermost.org,1,6,
E0DD91EA,2020-06-08,forum.mattermost.org,2,17,
F89B268A,2020-06-09,forum.mattermost.org,3,21,
56A87B22,2020-06-10,forum.mattermost.org,7,12,
8112F51F,2020-06-11,forum.mattermost.org,3,20,
BD99DB77,2020-06-12,forum.mattermost.org,3,6,
47B09846,2020-06-13,forum.mattermost.org,0,2,
8268CB68,2020-06-14,forum.mattermost.org,0,1,
67DCDD24,2020-06-15,forum.mattermost.org,2,7,
C3C68891,2020-06-16,forum.mattermost.org,0,3,
CE202BE2,2020-06-17,forum.mattermost.org,2,4,
88462F24,2020-06-18,forum.mattermost.org,5,14,
0AF49624,2020-06-19,forum.mattermost.org,2,3,
F08F5453,2020-06-20,forum.mattermost.org,0,3,
A5105F41,2020-06-21,forum.mattermost.org,0,2,
3EC1469C,2020-06-22,forum.mattermost.org,2,12,
5B0E6254,2020-06-23,forum.mattermost.org,2,7,
0E04F296,2020-06-24,forum.mattermost.org,2,17,
12CBFB3C,2020-06-25,forum.mattermost.org,0,4,
B8A7B7C1,2020-06-26,forum.mattermost.org,1,6,
D02A54EA,2020-06-28,forum.mattermost.org,1,4,
FFF9AC41,2020-06-29,forum.mattermost.org,2,11,
5F5B431B,2020-06-30,forum.mattermost.org,1,9,
A3CE12EF,2020-07-01,forum.mattermost.org,2,14,
36C009CE,2020-07-02,forum.mattermost.org,2,3,
D0250C95,2020-07-03,forum.mattermost.org,2,4,
E3E2B69A,2020-07-04,forum.mattermost.org,1,2,
7A71C4CC,2020-07-05,forum.mattermost.org,1,1,
7478EFD2,2020-07-06,forum.mattermost.org,2,14,
D5609DB4,2020-07-07,forum.mattermost.org,3,4,
31E960F6,2020-07-08,forum.mattermost.org,1,15,
8E351F53,2020-07-09,forum.mattermost.org,2,10,
91BB1F8F,2020-07-10,forum.mattermost.org,2,9,
3A0FB39E,2020-07-11,forum.mattermost.org,1,1,
F1E8BA24,2020-07-12,forum.mattermost.org,0,0,
1FE7698B,2020-07-13,forum.mattermost.org,2,11,
FB86C4B7,2020-07-14,forum.mattermost.org,4,11,
D6044B5E,2020-07-15,forum.mattermost.org,3,10,
E2C81773,2020-04-01,community.mattermost.com/core/channels/peer-to-peer-help,1,32,
